Code,H,HRank
410340,810.405,2
410341,834.36,2
410342,848.593,2
410343,830.166,2
410344,768.567,2
410345,692.656,2
410346,687.031,2
410347,344.656,2
410348,299.166,2
410349,386.2,2
410350,448.379,2
410351,495.288,2
410352,422.888,2
410353,356.684,2
410354,290.882,2
410355,300.999,2
410356,339.253,2
410357,427.273,2
410358,286.329,2
410359,458.451,2
410360,464.005,2
410362,405.924,2
410363,520.176,2
410364,557.296,2
410365,585.422,2
410366,624.338,2
410367,582.842,2
410368,647.34,2
410369,674.172,2
410370,599.73,2
410371,681.508,2
410372,752.234,2
410373,755.586,2
410374,774.893,2
410375,880.805,2
410376,928.092,2
410377,124.904,2
410378,62.846,2
410379,69.284,2
410380,89.541,2
410381,96.017,2
410382,121.443,2
410383,194.125,2
410385,458.701,2
410386,493.731,2
410387,520.078,2
410388,541.157,2
410389,499.409,2
410390,494.17,2
410391,475.237,2
410392,359.73,2
410393,192.063,2
410395,97.074,2
410512,790.603,2
410397,269.431,2
410401,390.267,2
410513,812.161,2
410404,404.418,2
410405,731.556,2
410514,816.298,2
410406,787.45,2
410407,796.712,2
410408,810.334,2
410515,851.911,2
410409,853.611,2
410410,731.767,2
410516,919.926,2
410411,608.913,2
410412,579.309,2
410413,734.944,2
410414,705.594,2
410415,725.475,2
410416,579.955,2
410517,920.099,2
410417,568.42,2
410418,504.199,2
410419,494.634,2
410518,920.259,2
410420,482.122,2
410421,520.062,2
410422,163.047,2
410519,904.655,2
410423,171.529,2
410520,890.102,2
410424,216.01,2
410425,249.228,2
410426,222.367,2
410521,921.356,2
410427,176.298,2
410428,151.472,2
410522,851.319,2
410429,538.532,2
410430,496.573,2
410431,538.417,2
410523,847.413,2
410432,356.559,2
410433,388.114,2
410524,876.981,2
410434,457.975,2
410435,593.644,2
410525,664.258,2
410436,640.801,2
410437,714.398,2
410438,739.492,2
410526,675.021,2
410439,781.658,2
410440,789.793,2
410441,841.645,2
410442,870.177,2
410527,667.084,2
410443,274.847,2
410444,211.824,2
410445,271.798,2
410528,708.536,2
410446,225.227,2
410447,280.379,2
410529,807.051,2
410448,275.48,2
410449,270.568,2
410530,865.658,2
410450,199.97,2
410451,108.087,2
410531,939.149,2
410452,124.751,2
410453,223.835,2
410454,246.035,2
410455,251.664,2
410532,938.78,2
410456,162.297,2
410457,126.457,2
410533,934.02,2
410458,121.942,2
410459,69.257,2
410460,31.383,2
410534,735.238,2
410535,68.797,2
410536,58.228,2
410461,231.916,2
410462,201.573,2
410537,61.949,2
410463,193.376,2
410464,138.102,2
410538,62.662,2
410465,396.796,2
410466,491.133,2
410467,534.994,2
410539,42.739,2
410468,88.556,2
410469,97.928,2
410540,816.846,2
410470,162.54,2
410471,160.719,2
410541,364.076,2
410472,185.848,2
410542,423.188,2
410476,278.72,2
410543,484.157,2
410477,309.442,2
410478,228.818,2
410544,534.553,2
410479,214.766,2
410480,200.899,2
410545,548.757,2
410481,187.788,2
410546,582.624,2
410482,193.584,2
410484,449.626,2
410547,80.497,2
410485,943.881,2
410486,946.8,2
410548,766.552,2
410487,987.628,2
410488,990.336,2
410549,718.027,2
410489,929.753,2
410490,901.108,2
410550,635.092,2
410491,42.587,2
410492,62.184,2
410551,568.23,2
410493,124.49,2
410494,158.867,2
410552,509.907,2
410495,241.37,2
410496,214.8,2
410553,434.08,2
410497,280.141,2
410498,387.598,2
410554,251.11,2
410499,405.116,2
410500,396.326,2
410555,237.088,2
410501,347.432,2
410502,380.837,2
410556,225.799,2
410503,888.524,2
410504,758.503,2
410557,-61.123,2
410505,763.273,2
410506,769.988,2
410558,-115.508,2
410507,797.615,2
410508,776.122,2
410509,749.455,2
410510,762.774,2
410559,27.267,2
410511,768.349,2
410560,29.907,2
410561,40.322,2
410562,45.371,2
410563,49.836,2
410564,47.173,2
410565,61.65,2
410566,60.758,2
410567,60.868,2
410568,57.872,2
410569,-106.524,2
410570,173.86,2
410571,169.396,2
410572,133.704,2
410573,230.5,2
410574,214.705,2
410575,107.657,2
410576,179.258,2
410577,56.841,2
410578,59.081,2
410579,72.567,2
410580,75.796,2
410583,55.424,2
410585,722.066,2
410586,592.855,2
410587,60.578,2
410588,28.397,2
410589,27.297,2
410590,24.201,2
410591,27.126,2
410592,37.531,2
410593,49.993,2
410594,54.365,2
410595,61.251,2
410596,60.712,2
410597,64.405,2
410598,67.074,2
410599,53.641,2
410600,66.491,2
410601,85.004,2
410602,71.118,2
410603,36.54,2
410604,31.464,2
410605,30.296,2
410606,11.803,2
410607,14.585,2
410608,19.563,2
410609,20.751,2
410610,26.256,2
410611,51.325,2
410612,220.027,2
410613,199.307,2
410614,86.482,2
410615,78.973,2
410616,68.945,2
410617,72.445,2
410618,74.518,2
410619,82.425,2
410620,96.968,2
410621,89.134,2
410622,132.054,2
410623,119.831,2
410624,108.988,2
410625,116.578,2
410626,-55.171,2
410627,37.159,2
410628,60.513,2
410629,80.415,2
410630,91,2
410631,159.509,2
410632,190.777,2
410633,214.624,2
410634,241.204,2
410635,263.934,2
410636,124.05,2
410637,146.548,2
410638,150.711,2
410639,189.441,2
410640,170.013,2
410641,211.46,2
410642,200.495,2
410643,236.545,2
410644,264.082,2
410645,307.138,2
410646,346.845,2
410647,367.215,2
410648,371.35,2
410649,389.233,2
410650,-248.319,2
410651,-152.987,2
410652,478.401,2
410653,465.76,2
410654,383.397,2
410655,581.481,2
410656,380.006,2
410657,373.466,2
410658,393.315,2
410659,532.256,2
410660,393.989,2
410661,317.492,2
410662,253.482,2
410663,402.193,2
410665,122.048,2
410666,132.212,2
410667,146.008,2
410668,154.002,2
