Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,Source,File
4764MPI,4348MPI,-32.28506,2379,51,1.76,1017,4348MPI-4764MPI.raw,3728,0770_4092-4764.rez
4348MPI,964U,31.39608,1636,40,1.92,1117,964U-4348MPI.raw,3728,0770_4092-4764.rez
964U,4764,-47.70754,1598,53,0.32,1217,964U-4764.raw,3728,0770_4092-4764.rez
4252,4251,35.32797,1932,53,-0.11,996,0,1998-r1,0841_4252-51U.rez
4251,51U,-8.70022,2205,40,-1.82,996,0,1998-r1,0841_4252-51U.rez
4252,50U,8.3425,2515,55,-3,996,0,1998-r1,0842_4252-50U.rez
4252,50U,8.33138,2497,52,-0.22,302,921.RAW,luba,0843_4252-50U.rez
4252,51U,26.62835,4263,92,-0.1,302,921.RAW,luba,0844_4252-51U.rez
4252,6236,328.62495,6215,226,-2.86,103,921.RAW,luba,0845_4252-63U.rez
6236,6237,206.29375,6475,208,3.54,103,921.RAW,luba,0845_4252-63U.rez
6237,63U,18.98373,2473,50,0.59,702,921.RAW,luba,0845_4252-63U.rez
4256,49U,4.43305,177,6,-0.5,496,0,1998-r1,0846_4256-49U.rez
4256,49U,4.43058,167,4,-0.36,402,921.RAW,luba,0847_4256-49U.rez
4256,6153,-22.0657,1078,31,-1.39,896,0,1998-r1,0848_4256-6153.rez
4256,6153,-22.05802,1046,22,0.64,302,921.RAW,luba,0849_4256-6153.rez
4260,4261,11.87745,1817,62,2.39,896,0,1998-r1,0850_4260-6028.rez
4261,670A,5.35986,1834,60,-0.24,896,0,1998-r1,0850_4260-6028.rez
670A,6027,-22.99588,1430,31,1.14,496,0,1998-r1,0850_4260-6028.rez
6027,250A,3.57883,1273,31,2.26,496,0,1998-r1,0850_4260-6028.rez
250A,6028,20.31045,1883,40,-3.2,496,0,1998-r1,0850_4260-6028.rez
4260,48U,-0.08362,19,1,0.2,496,0,1998-r1,0851_4260-48U.rez
4260,6026,-12.83159,2255,46,1.94,896,0,1998-r1,0852_4260-6152.rez
6026,6152,9.18389,1190,32,0.38,896,0,1998-r1,0852_4260-6152.rez
44531,44542,-1.77872,1041,14,-0.3,1286,2014,1998-r1,0919_44531-4839.rez
44542,4454,13.2206,905,15,1,1286,2014,1998-r1,0919_44531-4839.rez
4454,4839,4.50703,1159,17,0.06,1286,2014,1998-r1,0919_44531-4839.rez
44531,4644,-5.28369,2220,32,1.11,183,1334,1998-r2,0920_44531-4FB.rez
4644,30U,17.36498,1970,36,-0.07,183,1331,1998-r2,0920_44531-4FB.rez
30U,4642,-24.20641,2560,46,-3.41,183,1331,1998-r2,0920_44531-4FB.rez
4642,4641,-0.77407,2000,30,2.18,183,1331,1998-r2,0920_44531-4FB.rez
4641,2R,10.10027,2280,28,-0.33,183,1331,1998-r2,0920_44531-4FB.rez
2R,4640,2.70792,70,2,-0.4,183,1331,1998-r2,0920_44531-4FB.rez
4640,4639,1.41847,2370,44,-4.55,383,1341,1998-r2,0920_44531-4FB.rez
4639,4638,23.6283,3170,58,-3.4,383,1341,1998-r2,0920_44531-4FB.rez
4638,4FB,4.06255,1580,30,-1.8,383,1341,1998-r2,0920_44531-4FB.rez
44531,742A,63.4201,1851,36,0,486,2014,1998-r1,0921_44531-742A.rez
44531,742A1,19.32018,694,14,0,486,2014,1998-r1,0922_44531-742A.rez
742A1,742A,44.0949,1153,26,0,486,2014,1998-r1,0922_44531-742A.rez
44551,124BN,0.43274,592,12,0.01,1217,4455_1-124BN.raw,3728,0923_44551-756A.rez
124BN,4128MPI,-2.6859,971,19,-0.28,1217,124BN-4128MPI.raw,3728,0923_44551-756A.rez
4128MPI,4129MPI,9.94875,1793,35,0.1,1217,4128MPI-4129MPI.raw,3728,0923_44551-756A.rez
4129MPI,4130MPI,-0.42026,30,3,-0.03,1217,4129MPI-4130MPI.raw,3728,0923_44551-756A.rez
4130MPI,4350MPI,-34.57406,1601,35,0.54,1018,4350MPI-4130MPI.raw,3728,0923_44551-756A.rez
4350MPI,4131MPI,3.34769,712,22,1.44,1018,4350MPI-4131MPI.raw,3728,0923_44551-756A.rez
4131MPI,3546MPI,-6.04144,1602,34,1.34,718,3546MPI-4131MPI.raw,3728,0923_44551-756A.rez
3546MPI,3774MPI,-9.3382,3539,70,3.19,718,3546MPI-3774MPI.raw,3728,0923_44551-756A.rez
3774MPI,4133MPI,13.4639,1811,45,1.81,520,4133MPI-3774MPI.raw,3728,0923_44551-756A.rez
4133MPI,3775MPI,-17.84514,1724,38,-0.2,918,4133MPI-3775MPI.raw,3728,0923_44551-756A.rez
3775MPI,3208MPI,10.96092,2114,43,0.28,1018,3208MPI-3775MPI.raw,3728,0923_44551-756A.rez
3208MPI,756A,-4.23832,1039,28,2.36,1018,3208MPI-756A.raw,3728,0923_44551-756A.rez
44551,4349MPI,13.77899,1852,35,0.66,1217,4455_1-4349MPI.raw,3728,0924_44551-502U.rez
4349MPI,502U,15.09614,1607,37,0.48,1117,502U-4349MPI.raw,3728,0924_44551-502U.rez
44551,4455,7.66557,1383,21,1.3,1286,2014,1998-r1,0925_44551-502U.rez
4455,761A,19.73909,195,11,-0.1,1286,2014,1998-r1,0925_44551-502U.rez
761A,761A1,-10.84758,1290,26,-0.5,1286,2014,1998-r1,0925_44551-502U.rez
761A1,502U,12.31934,830,14,2.1,1286,2014,1998-r1,0925_44551-502U.rez
44551,708,2.08835,914,12,0.01,1186,2014,1998-r1,0926_44551-760A.rez
708,7081,-3.90507,1216,16,1.9,1186,2014,1998-r1,0926_44551-760A.rez
7081,760A,23.59044,1293,21,-2.9,1186,2014,1998-r1,0926_44551-760A.rez
4496,4497,-58.35039,1642,44,-0.68,502,921.RAW,luba,0936_4496-4502.rez
4497,130U,-42.85317,966,28,-0.75,502,921.RAW,luba,0936_4496-4502.rez
130U,4498,-6.8657,198,6,0.69,502,921.RAW,luba,0936_4496-4502.rez
4498,44991,-57.37928,2270,62,0.31,502,921.RAW,luba,0936_4496-4502.rez
44991,4500,-23.98893,1944,40,-0.45,502,921.RAW,luba,0936_4496-4502.rez
4500,45001,-6.36119,1017,22,-1.14,402,921.RAW,luba,0936_4496-4502.rez
45001,4501,16.9923,822,28,-0.76,402,921.RAW,luba,0936_4496-4502.rez
4501,4502,44.0692,2063,42,-0.09,402,921.RAW,luba,0936_4496-4502.rez
4496,6228,105.09483,2291,70,-0.05,702,921.RAW,luba,0937_4496-6226.rez
6228,6227,122.95539,3466,82,-2.3,702,921.RAW,luba,0937_4496-6226.rez
6227,6226,98.12882,3323,70,-2.9,702,921.RAW,luba,0937_4496-6226.rez
4502,6144,-168.76352,3955,114,0.9,502,921.RAW,luba,0938_4502-6144.rez
4502,KNNE,-180.83619,5422,130,-0.33,702,921.RAW,luba,0939_4502-6147.rez
KNNE,6147,-37.6277,2492,58,0.48,702,921.RAW,luba,0939_4502-6147.rez
4523,36U,-1.58052,64,2,0.12,1096,0,1998-r1,0948_4523-36U.rez
4523,6004,17.88538,2356,32,1.1,596,0,1998-r1,0949_4523-4528.rez
6004,35U,14.92451,1973,31,-1.23,596,0,1998-r1,0949_4523-4528.rez
35U,4526,0.5719,77,2,-0.42,1096,0,1998-r1,0949_4523-4528.rez
4526,6003,7.35959,1310,27,2.12,1096,0,1998-r1,0949_4523-4528.rez
6003,4527,7.0511,623,14,0.34,0,0,1998-r1,0949_4523-4528.rez
4527,4528,19.66403,1546,36,-0.84,1096,0,1998-r1,0949_4523-4528.rez
4523,6006,-29.03052,2314,48,-1.1,596,0,1998-r1,0950_4523-4525.rez
6006,3112,-0.82497,313,8,-0.7,1096,0,1998-r1,0950_4523-4525.rez
3112,6007,-7.43322,1575,22,-0.8,596,0,1998-r1,0950_4523-4525.rez
6007,6008,-7.66723,2102,38,2.27,296,0,1998-r1,0950_4523-4525.rez
6008,4524,5.52687,725,14,-0.53,996,0,1998-r1,0950_4523-4525.rez
4524,4525,-10.26797,2092,43,0.44,1096,0,1998-r1,0950_4523-4525.rez
4528,6002,-1.70127,125,4,0.66,696,0,1998-r1,0951_4528-6002.rez
45U,6034,-140.96109,2343,70,-1.66,996,0,1998-r1,0958_45U-6034.rez
45U,60651,96.47719,1252,45,1.71,596,0,1998-r1,0959_45U-60651.rez
45U,60651,96.51026,1319,84,-0.31,405,938.RAW,luba,0960_45U-60651.rez
4665,191H,45.01548,1096,48,-3,301,914.RAW,luba,0973_4665-6209.rez
191H,114H,37.84206,639,36,-0.29,301,914.RAW,luba,0973_4665-6209.rez
114H,3596,26.4814,481,31,-1.23,301,914.RAW,luba,0973_4665-6209.rez
3596,1386W,108.47038,1294,93,-2.82,301,914.RAW,luba,0973_4665-6209.rez
1386W,6178,2.72262,2560,135,-1.21,301,914.RAW,luba,0973_4665-6209.rez
6178,291H,-48.59727,706,46,0.86,301,914.RAW,luba,0973_4665-6209.rez
