Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File,Source
335U,5414MPI,-27.4145,1617,47,-1.38,819,5414MPI-335U.DAT.raw,3786-line_1_1
5414MPI,847U,15.83131,723,33,-0.04,719,847U-5414MPI.DAT.raw,3786-line_1_1
847U,3102b,-33.03653,1602,44,1.2,719,3102b-847U.DAT.raw,3786-line_1_1
3102b,336U,-2.23769,1181,27,0.66,719,336U-3102b.DAT.raw,3786-line_1_1
336U,3107b,3.98827,1806,46,0.13,719,3107b-336U.DAT.raw,3786-line_1_1
3107b,3109b,-20.89216,1715,49,1.88,719,3109b-3107b.DAT.raw,3786-line_1_1
3109b,5413MPI,-4.07684,1711,39,-0.14,719,5413MPI-3109b.DAT.raw,3786-line_1_1
5413MPI,3112b,-1.2809,1221,29,1.8,719,3112b-5413MPI.DAT.raw,3786-line_1_1
3112b,3114b,-1.84016,1934,41,1.87,819,3114b-3112b.DAT.raw,3786-line_1_1
3114b,3116b,3.34656,1862,39,1.58,819,3116b-3114b.DAT.raw,3786-line_1_1
3116b,339U,-3.1889,605,16,0.06,719,339U-3116b.DAT.raw,3786-line_1_1
339U,3118b,-0.36764,767,18,0.15,819,3118b-339U.DAT.raw,3786-line_1_1
3118b,3119b,-0.14023,1077,25,0.48,819,3119b-3118b.DAT.raw,3786-line_1_1
204U,350U,15.53225,1233,26,1.06,899,998.RAW,luba
204U,350U,15.52989,1223,47,1.26,1019,350U-204U.DAT.raw,3786-line_1_2
204U,351U,8.01157,884,16,0.75,899,998.RAW,luba
204U,351U,8.01066,856,20,0.3,1019,351U204U.DAT.raw,3786-line_1_2
204U,7553MPI,6.52186,1927,46,2,1019,7553MPI-204U.DAT.raw,3786-line_1_2
7553MPI,5419MPI,-9.94504,1182,26,0.37,1019,5419MPI-7553MPI.DAT.raw,3786-line_1_2
5419MPI,7554MPI,-7.77544,938,26,0.3,1019,7554MPI-5419MPI.DAT.raw,3786-line_1_2
