from_Point,to_Point,dH,dist_m,num_stations,BF_diff_mm
6016,4108MPI,3.04334,1924,34,-1.52
4108MPI,213A1,-3.23848,1928,40,1.77
6015,4352MPI,30.44392,2377,57,2.52
4352MPI,2479W,-2.3747,1276,26,0.86
6011,4353MPI,11.6455,1741,34,0.98
4353MPI,4354MPI,-5.97546,1178,26,1.24
4354MPI,39U,9.77975,2167,46,0.52
4011MPI,4355MPI,-1.75322,2272,47,1.54
4355MPI,4009MPI,0.2751,1505,32,1.66
3992MPI,4107MPI,-6.3348,1888,40,0.55
4107MPI,3993MPI,-3.78143,747,17,2.3
3993MPI,870U,1.38499,1291,29,0.42
870U,38U,4.2325,1179,24,1.86
38U,3994MPI,-5.10516,2437,44,0.4
3994MPI,721U,-37.59271,2268,47,1.76
721U,4357MPI,-20.64874,1852,55,1.92
4357MPI,4105MPI,18.76587,1906,47,0.52
4105MPI,5453MPI,-27.75692,2513,69,1.8
5453MPI,79BY,9.60201,805,20,0.32
735U,5454MPI,-6.01079,1147,25,0.78
5454MPI,76BY,5.20524,2134,50,2.52
76BY,161,-1.61653,1207,36,1.38
161,720U,-17.08768,1909,50,2.32
720U,4104MPI,-5.90019,2325,46,1.62
4104MPI,5450MPI,-25.32454,2628,52,2.26
5450MPI,4103MPI,16.52956,2064,40,-0.7
4103MPI,158,-6.13574,2292,43,0.47
158,4102MPI,-5.17776,2057,38,1.18
4102MPI,71A,5.98056,1863,34,-0.36
71A,5449MPI,3.08643,797,16,0.58
5449MPI,901U,15.96609,2764,51,-0.6
901U,5448MPI,-13.43127,1685,32,1.5
5448MPI,4101MPI,1.12114,1971,37,1.46
4101MPI,5447MPI,10.07148,2689,52,1.23
5447MPI,5446MPI,-15.50367,2277,42,-0.14
5446MPI,5445MPI,0.78014,1920,39,0.5
5445MPI,4100MPI,8.16178,1676,30,-2.05
4100MPI,5444MPI,-2.94245,1974,35,-0.14
5444MPI,20BY,-8.3793,1956,36,0.1
20BY,3962MPI,30.49192,2269,47,-0.85
3962MPI,4099MPI,-14.02818,1249,28,1
4099MPI,4098MPI,21.99162,2951,65,1.62
4098MPI,4097MPI,3.13002,914,22,-0.46
4097MPI,713U,54.02588,2776,65,1.97
713U,4351MPI,-69.97377,2545,54,2
4351MPI,4080MPI,-49.05518,2513,51,0.88
4080MPI,4079MPI,-26.0434,2177,42,2.44
4079MPI,4118MPI,-11.32622,2535,45,2
4118MPI,4075MPI,-1.3838,2315,42,1.51
4075MPI,4074MPI,14.75938,2656,48,-0.9
4074MPI,7640MPI,0.61309,1535,28,1.16
5446MPI,4070MPI,60.76366,1502,40,1.08
1516JAD,7326b,2.39841,777,16,0.54
7326b,1518JAD,4.36551,1595,40,1.06
1518JAD,7319b,7.66204,1171,33,1.6
4190MPI,1517JAD,8.46567,1098,35,0.26
1517JAD,7320b,-6.07362,1094,31,-0.07
956b,1506JAD,5.12543,1953,37,2.04
1506JAD,953b,22.31966,1624,43,1.24
969b,5517MPI,-13.3604,1001,39,0.64
5517MPI,1503JAD,5.96823,1046,34,0.37
1503JAD,928b,-10.88358,1331,35,-0.86
915b,5434MPI,-4.43646,793,18,1.21
5434MPI,799A,36.22237,1732,81,-0.34
799A,1505JAD,-48.06179,2003,129,0.78
1505JAD,274A,-3.96035,927,27,-0.1
912U,1520JAD,10.04425,1295,44,1.74
1520JAD,2033b,2.94822,1375,30,0.16
2033b,5518MPI,7.36071,1666,36,1.32
5518MPI,2039b,21.21545,1545,36,-1.74
1707b,5505MPI,-12.8328,1490,46,0.53
5505MPI,5516MPI,-7.84255,1184,26,0.18
5516MPI,5433MPI,-11.53208,1190,28,0.15
5433MPI,1173b,-1.40284,2047,67,-0.58
1133b,5515MPI,4.5381,1300,30,1.52
5515MPI,1089b,5.79979,1185,34,-1.84
6281,5514MPI,14.96565,990,26,0.5
5514MPI,427U,-5.35065,715,16,-1.24
1101b,5506MPI,-5.5693,416,12,-0.22
5506MPI,1140b,-6.90226,1826,48,0.88
1140b,5511MPI,-4.87786,1337,30,-0.22
5511MPI,428U,0.01441,884,23,0.74
3555,5503MPI,6.05533,1534,34,2.01
5503MPI,5502MPI,10.87853,1746,42,0.1
5502MPI,5501MPI,6.20023,1651,35,0.04
5501MPI,302A,32.51477,1348,52,1.72
3193,1500JAD,-22.76053,1258,50,-1.3
1500JAD,1501JAD,-19.40523,1490,46,0.02
1501JAD,1502JAD,-13.70891,1300,26,1.33
1502JAD,1504JAD,0.50685,821,21,1.26
1504JAD,429U,-10.322,1563,32,1.24
1017b,5429MPI,-3.26643,651,16,0.27
5429MPI,1014b,0.7576,1517,30,0.28
1012b,5427MPI,-2.83038,1269,28,1.06
5427MPI,5426MPI,-2.81283,822,19,0.82
5426MPI,1003b,4.20862,836,22,0.82
1003b,5496MPI,-8.69836,1271,33,-0.38
5496MPI,5497MPI,-3.65032,1162,24,1.64
5497MPI,5498MPI,-2.03994,1303,23,0.28
4325MPI,1508JAD,25.61055,1353,53,0.02
1508JAD,1510JAD,-21.73868,1149,34,0.06
1510JAD,1509JAD,10.65996,1425,41,-0.3
1509JAD,6170,-10.35542,902,27,0.65
1173b,922U,0.4918,1651,41,-1.74
922U,5513MPI,-4.0696,1295,35,0.52
5513MPI,5431MPI,-6.06628,1907,43,0.68
5431MPI,5512MPI,1.23705,963,26,0.02
5512MPI,5428MPI,-11.61382,837,21,0.31
5428MPI,4758,-3.18805,1190,26,-0.58
1012b,5432MPI,-4.82697,1043,22,-0.8
5432MPI,5504MPI,-1.70424,832,15,-0.4
5504MPI,1132b,-1.86869,1674,29,-0.26
1124b,5515MPI,2.30957,648,16,0.98
911U,1560JAD,17.49917,1400,32,0.49
1560JAD,1559JAD,-13.83752,1396,30,0.6
1559JAD,910U,-1.8325,1253,35,1.02
1510JAD,371A,-0.39545,75,2,-0.02
371A,1508JAD,22.13476,1086,40,1.49
409U,1518JAD,-3.18423,218,6,0.02
40F,5435MPI,5.71671,1492,30,2.15
5435MPI,5436MPI,20.18326,2416,44,2.56
5436MPI,5437MPI,24.1834,1732,32,0.48
5437MPI,795A,13.65188,2332,44,3.24
79U,4202MPI,54.6288,2215,45,-0.46
4202MPI,324A,-18.26605,1949,50,3.02
